epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,193.007,1.09346,5.31284,0.01777,0.57126,0.19688,0.25941,0.17613,1.05615,2.03511,0.02381,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623
2,293.779,1.174,3.18425,0.01928,0.47632,0.36678,0.36874,0.24327,1.16586,1.8156,0.02682,0.0197809,0.00659363,0.0197809,0.00659363,0.0197809,0.00659363,0.0197809,0.00659363
3,387.444,1.31536,2.4091,0.02201,0.38239,0.21027,0.18975,0.09793,1.61443,2.77259,0.04295,0.0293851,0.00979503,0.0293851,0.00979503,0.0293851,0.00979503,0.0293851,0.00979503
4,478.255,1.42764,2.24523,0.02434,0.4836,0.44113,0.4164,0.24444,1.45372,1.79213,0.03662,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,569.98,1.41591,2.09696,0.02365,0.49505,0.37019,0.35941,0.23058,1.38439,1.79147,0.03315,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,660.639,1.37349,1.93458,0.02303,0.51217,0.45644,0.45858,0.29739,1.29144,1.53632,0.03051,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,751.756,1.36684,1.86276,0.02233,0.46306,0.45274,0.42908,0.26693,1.29605,1.70531,0.0303,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,843.506,1.34359,1.75154,0.02193,0.58796,0.49112,0.51326,0.33359,1.30327,1.57226,0.03061,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,934.644,1.31102,1.71071,0.02125,0.61061,0.53847,0.57034,0.38625,1.18698,1.30496,0.02679,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1025.41,1.29693,1.63119,0.02123,0.57128,0.53703,0.56464,0.38832,1.12116,1.26606,0.02477,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
